,GM_DATE,HOME_TEAM,SPREAD_1_AWAY,ODDS_1_AWAY,SPREAD_2_AWAY,ODDS_2_AWAY,SPREAD_3_AWAY,ODDS_3_AWAY,SPREAD_4_AWAY,ODDS_4_AWAY,SPREAD_1_HOME,ODDS_1_HOME,SPREAD_2_HOME,ODDS_2_HOME,SPREAD_3_HOME,ODDS_3_HOME,SPREAD_4_HOME,ODDS_4_HOME
65,2021-10-29,New Orleans,-1½,-110,,-,-1,-109,-1½,-110,+1½,-110,,-,+1,-112,+1½,-110
66,2021-10-29,Portland,+3½,-110,,-,+3½,-109,+5½,-145,-3½,-110,,-,-3½,-112,-5½,+105
67,2021-10-29,Denver,+4,-110,,-,+3½,-109,+4½,-130,-4,-110,,-,-3½,-112,-3½,-115
68,2021-10-29,L.A. Lakers,+8,-110,,-,+7½,-110,+10,-165,-8,-110,,-,-7½,-110,-10,+120
69,2021-10-30,Phoenix,+10,-110,,-,+9½,-114,+7½,+125,-10,-110,,-,-9½,-107,-8½,-135
70,2021-10-30,Minnesota,+1½,-110,,-,+1½,-110,+2½,-135,-1½,-110,,-,-1½,-112,-2½,-105
71,2021-10-30,Golden State,+12½,-110,,-,+12½,-110,+10½,+105,-12½,-110,,-,-12½,-112,-10½,-145
72,2021-10-30,Memphis,+3½,-110,,-,+3½,-109,+5½,-140,-3½,-110,,-,-3½,-112,-5½,+100
73,2021-10-30,Milwaukee,+7,-110,,-,+7,-110,+9,-190,-7,-110,,-,-7,-110,-5,-175
74,2021-10-30,Detroit,+6,-110,,-,+6,-110,+8,-175,-6,-110,,-,-6,-110,-8,+125
75,2021-10-30,Philadelphia,+3½,-110,,-,+3½,-113,+5½,-145,-3½,-110,,-,-3½,-109,-5½,+105
76,2021-10-30,Indiana,+3,-110,,-,+3,-109,+3,-110,-3,-110,,-,-3,-112,-3,-110
77,2021-10-30,New Orleans,-8,-110,,-,-8,-110,-9½,+120,+8,-110,,-,+8,-110,+9½,-165
78,2021-10-30,Washington,+2,-110,,-,+2,-109,+2½,-115,-2,-110,,-,-2,-112,-2½,-105
79,2021-10-30,Chicago,-3½,-110,,-,-3½,-112,-4½,-105,+3½,-110,,-,+3½,-109,+3½,-110
80,2021-10-31,L.A. Lakers,+11,-110,,-,+10½,-110,+12,-140,-11,-110,,-,-10½,-110,-13,+120
81,2021-10-31,Brooklyn,+12,-110,,-,+12½,-110,+14,-165,-12,-110,,-,-12½,-112,-14,+120
82,2021-10-31,Charlotte,-2,-110,,-,-2,-110,-3,+100,+2,-110,,-,+2,-112,+3,-140
83,2021-10-31,Dallas,+4½,-115,,-,+4½,-114,+6½,-175,-4½,-105,,-,-4½,-107,-6½,+125
84,2021-10-31,Milwaukee,-2½,-110,,-,,-,-7,+125,+2½,-110,,-,,-,+7,-175
85,2021-11-01,L.A. Clippers,+12½,-110,,-,+13,-109,+12½,-105,-12½,-110,,-,-13,-112,-12½,-115
86,2021-11-01,Charlotte,+5,-110,,-,+5,-109,+7,-175,-5,-110,,-,-5,-112,-7,+125
87,2021-11-01,Philadelphia,+2,-110,,-,+6,-109,-2,-110,-2,-110,,-,-6,-112,+2,-110
88,2021-11-01,Indiana,+3,-110,,-,+4,-110,+5,-160,-3,-110,,-,-4,-110,-4,-105
89,2021-11-01,New York,+7,-110,,-,+7,-110,+5½,+120,-7,-110,,-,-7,-110,-8½,+100
90,2021-11-01,Atlanta,+5½,-110,,-,+5½,-110,+6½,-145,-5½,-110,,-,-5½,-110,-7½,+130
